"meetup_id";"meetup_slug";"meetup_name";"meetup_link";"country_id";"meetup_members";"meetup_date_created";"meetup_lat";"meetup_lon";"meetup_tz";"meetup_active"
"18209197";"wordpress-jaipur";"WordPress Jaipur";"https://www.meetup.com/wordpress-jaipur";"in";"1833";"2014-11-23";"26.92";"75.8";"Asia/Kolkata";"1"
"18297561";"wpmeetup-frankfurt";"WordPress Meetup Frankfurt #wpFRA";"https://www.meetup.com/wpmeetup-frankfurt";"de";"538";"2015-01-04";"50.12";"8.68";"Europe/Berlin";"1"
"18334643";"f59e7f78-259b-44e7-a7b3-09432a910e94";"Shropshire WordPress Meetup";"https://www.meetup.com/f59e7f78-259b-44e7-a7b3-09432a910e94";"gb";"130";"2015-01-14";"52.71";"-2.75";"Europe/London";"0"
"18357204";"WordPress-Meetup-Marbella";"WordPress Meetup Marbella";"https://www.meetup.com/wordpress-meetup-marbella";"es";"994";"2015-01-20";"36.52";"-4.89";"Europe/Madrid";"1"
"18360090";"95b9be5c-de7e-4e56-b55c-17c5e4d653de";"New Castle County Delaware WordPress Meetup";"https://www.meetup.com/95b9be5c-de7e-4e56-b55c-17c5e4d653de";"us";"219";"2015-01-21";"39.82";"-75.51";"America/New_York";"0"
"18363006";"WordPress-OX";"WPOX";"https://www.meetup.com/wordpress-ox";"gb";"411";"2015-01-21";"51.74";"-1.24";"Europe/London";"1"
"18369716";"WordPress-Meetup-Twente";"WordPress Meetup Twente";"https://www.meetup.com/wordpress-meetup-twente";"nl";"417";"2015-01-23";"52.22";"6.89";"Europe/Brussels";"1"
"18377017";"WordPress-Murcia";"WordPress Murcia";"https://www.meetup.com/wordpress-murcia";"es";"857";"2015-01-25";"37.98";"-1.13";"Europe/Madrid";"1"
"18386200";"bf4a4c74-fa7c-481e-bd78-bcedd7438bf0";"WordPress Cantabria";"https://www.meetup.com/bf4a4c74-fa7c-481e-bd78-bcedd7438bf0";"es";"234";"2015-01-27";"43.46";"-3.81";"Europe/Madrid";"0"
"18385969";"WordPress-Bilbao";"WordPress Bilbao";"https://www.meetup.com/wordpress-bilbao";"es";"950";"2015-01-27";"43.25";"-2.93";"Europe/Madrid";"1"
"18388240";"Marseille-WordPress-Meetup";"Marseille WordPress Meetup";"https://www.meetup.com/marseille-wordpress-meetup";"fr";"1161";"2015-01-28";"43.31";"5.37";"Europe/Paris";"1"
"18392412";"wordpress-rennes";"WordPress Rennes";"https://www.meetup.com/wordpress-rennes";"fr";"357";"2015-01-29";"48.11";"-1.68";"Europe/Paris";"1"
"18425118";"WordPress-Meetup-Fryslan";"WordPress Meetup Fryslân";"https://www.meetup.com/wordpress-meetup-fryslan";"nl";"413";"2015-02-10";"53.21";"5.79";"Europe/Brussels";"1"
"18457433";"03b1337d-bb21-46d6-bbbf-c7d592e3be49";"Leeward WordPress Group";"https://www.meetup.com/03b1337d-bb21-46d6-bbbf-c7d592e3be49";"us";"106";"2015-02-24";"21.33";"-158.09";"Pacific/Honolulu";"0"
"18476667";"wordpress-valencia-meetup";"WordPress Valencia";"https://www.meetup.com/wordpress-valencia-meetup";"es";"2676";"2015-03-04";"39.48";"-0.39";"Europe/Madrid";"1"
"18480085";"mallorca-wordpress-meetup";"WordPress Mallorca";"https://www.meetup.com/mallorca-wordpress-meetup";"es";"539";"2015-03-05";"39.57";"2.65";"Europe/Madrid";"1"
"18494920";"WordPress-Mexico";"WordPress Mexico";"https://www.meetup.com/wordpress-mexico";"mx";"2975";"2015-03-12";"19.43";"-99.14";"America/Mexico_City";"1"
