wordpress_version;wordpress_version_major;wordpress_version_minor;wordpress_date;wordpress_changelog
4.7.2;4.7;2;26/01/2017;https://codex.wordpress.org/Version_4.7.2#List_of_Files_Revised
4.7.3;4.7;3;06/03/2017;https://codex.wordpress.org/Version_4.7.3#List_of_Files_Revised
4.7.4;4.7;4;20/04/2017;https://codex.wordpress.org/Version_4.7.4#List_of_Files_Revised
4.7.5;4.7;5;16/05/2017;https://codex.wordpress.org/Version_4.7.5#List_of_Files_Revised
4.7.6;4.7;6;19/09/2017;https://codex.wordpress.org/Version_4.7.6#List_of_Files_Revised
4.7.7;4.7;7;31/10/2017;https://codex.wordpress.org/Version_4.7.7#List_of_Files_Revised
4.7.8;4.7;8;29/11/2017;https://codex.wordpress.org/Version_4.7.8#List_of_Files_Revised
4.7.9;4.7;9;16/01/2018;https://codex.wordpress.org/Version_4.7.9#List_of_Files_Revised
4.7.10;4.7;10;03/04/2018;https://codex.wordpress.org/Version_4.7.10#List_of_Files_Revised
4.7.11;4.7;11;05/07/2018;https://codex.wordpress.org/Version_4.7.11#List_of_Files_Revised
4.7.12;4.7;12;12/12/2018;https://wordpress.org/support/wordpress-version/version-4-7-12/#list-of-files-revised
4.7.13;4.7;13;13/03/2019;https://wordpress.org/support/wordpress-version/version-4-7-13/#list-of-files-revised
4.7.14;4.7;14;04/09/2019;https://wordpress.org/support/wordpress-version/version-4-7-14/#list-of-files-revised
4.7.15;4.7;15;14/10/2019;https://wordpress.org/support/wordpress-version/version-4-7-15/#list-of-files-revised
4.7.16;4.7;16;12/12/2019;https://wordpress.org/support/wordpress-version/version-4-7-16/#list-of-files-revised
4.7.17;4.7;17;29/04/2020;https://wordpress.org/support/wordpress-version/version-4.7.17/#list-of-files-revised
4.7.18;4.7;18;10/06/2020;https://wordpress.org/support/wordpress-version/version-4-7-18/#list-of-files-revised
4.7.19;4.7;19;29/10/2020;https://wordpress.org/support/wordpress-version/version-4-7-19/#list-of-files-revised
4.7.20;4.7;20;14/04/2021;https://wordpress.org/support/wordpress-version/version-4-7-20/#list-of-files-revised
4.7.21;4.7;21;12/05/2021;https://wordpress.org/support/wordpress-version/version-4-7-21/#list-of-files-revised
4.7.22;4.7;22;06/01/2022;https://wordpress.org/support/wordpress-version/version-4.7.22/#list-of-files-revised
4.7.23;4.7;23;11/03/2022;https://wordpress.org/documentation/wordpress-version/version-4.7.23/
4.7.24;4.7;24;30/08/2022;https://wordpress.org/documentation/wordpress-version/version-4.7.24/
4.7.25;4.7;25;17/10/2022;https://wordpress.org/documentation/wordpress-version/version-4.7.25/
4.7.26;4.7;26;16/05/2023;
4.7.27;4.7;27;12/10/2023;
4.7.28;4.7;28;30/01/2024;
4.8;4.8;0;08/06/2017;https://codex.wordpress.org/Changelog/4.8
4.8.1;4.8;1;02/08/2017;https://codex.wordpress.org/Version_4.8.1#List_of_Files_Revised
4.8.2;4.8;2;19/09/2017;https://codex.wordpress.org/Version_4.8.2#List_of_Files_Revised
4.8.3;4.8;3;31/10/2017;https://codex.wordpress.org/Version_4.8.3#List_of_Files_Revised
4.8.4;4.8;4;29/11/2017;https://codex.wordpress.org/Version_4.8.4#List_of_Files_Revised
4.8.5;4.8;5;16/01/2018;https://codex.wordpress.org/Version_4.8.5#List_of_Files_Revised
4.8.6;4.8;6;03/04/2018;https://codex.wordpress.org/Version_4.8.6#List_of_Files_Revised
4.8.7;4.8;7;05/07/2018;https://codex.wordpress.org/Version_4.8.7#List_of_Files_Revised
4.8.8;4.8;8;12/12/2018;https://wordpress.org/support/wordpress-version/version-4-8-8/#list-of-files-revised
4.8.9;4.8;9;13/03/2019;https://wordpress.org/support/wordpress-version/version-4-8-9/#list-of-files-revised
4.8.10;4.8;10;04/09/2019;https://wordpress.org/support/wordpress-version/version-4-8-10/#list-of-files-revised
4.8.11;4.8;11;14/10/2019;https://wordpress.org/support/wordpress-version/version-4-8-11/#list-of-files-revised
4.8.12;4.8;12;12/12/2019;https://wordpress.org/support/wordpress-version/version-4.8.12/#list-of-files-revised
4.8.13;4.8;13;29/04/2020;https://wordpress.org/support/wordpress-version/version-4.8.13/#list-of-files-revised
4.8.14;4.8;14;10/06/2020;https://wordpress.org/support/wordpress-version/version-4-8-14/#list-of-files-revised
4.8.15;4.8;15;29/10/2020;https://wordpress.org/support/wordpress-version/version-4-8-15/#list-of-files-revised
4.8.16;4.8;16;14/04/2021;https://wordpress.org/support/wordpress-version/version-4-8-16/#list-of-files-revised
4.8.17;4.8;17;12/05/2021;https://wordpress.org/support/wordpress-version/version-4-8-17/#list-of-files-revised
4.8.18;4.8;18;06/01/2022;https://wordpress.org/support/wordpress-version/version-4.8.18/#list-of-files-revised
4.8.19;4.8;19;11/03/2022;https://wordpress.org/documentation/wordpress-version/version-4.8.19/
4.8.20;4.8;20;30/08/2022;https://wordpress.org/documentation/wordpress-version/version-4.8.20/
4.8.21;4.8;21;17/10/2022;https://wordpress.org/documentation/wordpress-version/version-4.8.21/
4.8.22;4.8;22;16/05/2023;
4.8.23;4.8;23;12/10/2023;
4.8.24;4.8;24;30/01/2024;
4.9;4.9;0;15/11/2017;https://codex.wordpress.org/Changelog/4.9
4.9.1;4.9;1;29/11/2017;https://codex.wordpress.org/Version_4.9.1#List_of_Files_Revised
4.9.2;4.9;2;16/01/2018;https://codex.wordpress.org/Version_4.9.2#List_of_Files_Revised
4.9.3;4.9;3;05/02/2018;https://codex.wordpress.org/Version_4.9.3#List_of_Files_Revised
4.9.4;4.9;4;06/02/2018;https://codex.wordpress.org/Version_4.9.4#List_of_Files_Revised
4.9.5;4.9;5;03/04/2018;https://codex.wordpress.org/Version_4.9.5#List_of_Files_Revised
4.9.6;4.9;6;17/05/2018;https://codex.wordpress.org/Version_4.9.6#List_of_Files_Revised
4.9.7;4.9;7;05/07/2018;https://codex.wordpress.org/Version_4.9.7#List_of_Files_Revised
